participant,item,keyed,text,answer,score
P9,A5,minus,I believe that I am better than others,Moderately Accurate,0
P9,A5,minus,I think highly of myself,Moderately Accurate,0
P9,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P9,A6,plus,I feel sympathy for those who are worse off than myself,Moderately Accurate,0
P10,A1,plus,I trust others,Neither Accurate Nor Inaccurate,0
P10,A1,plus,I believe that others have good intentions,Moderately Accurate,0
P10,A2,minus,I cheat to get ahead,Neither Accurate Nor Inaccurate,0
P10,A2,minus,I take advantage of others,Moderately Inaccurate,0
P10,A3,plus,I love to help others,Neither Accurate Nor Inaccurate,0
P10,A3,plus,I am concerned about others,Neither Accurate Nor Inaccurate,0
P10,A4,minus,I insult people,Moderately Inaccurate,0
P10,A4,minus,I get back at others,Very Inaccurate,0
P10,A5,minus,I believe that I am better than others,Moderately Accurate,0
P10,A5,minus,I think highly of myself,Moderately Accurate,0
P10,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P10,A6,plus,I feel sympathy for those who are worse off than myself,Neither Accurate Nor Inaccurate,0
P11,A1,plus,I trust others,Moderately Accurate,0
P11,A1,plus,I believe that others have good intentions,Very Accurate,0
P11,A2,minus,I cheat to get ahead,Very Inaccurate,0
P11,A2,minus,I take advantage of others,Very Inaccurate,0
P11,A3,plus,I love to help others,Moderately Accurate,0
P11,A3,plus,I am concerned about others,Neither Accurate Nor Inaccurate,0
P11,A4,minus,I insult people,Very Inaccurate,0
P11,A4,minus,I get back at others,Moderately Inaccurate,0
P11,A5,minus,I believe that I am better than others,Very Inaccurate,0
P11,A5,minus,I think highly of myself,Moderately Inaccurate,0
P11,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P11,A6,plus,I feel sympathy for those who are worse off than myself,Moderately Accurate,0
P12,A1,plus,I trust others,Moderately Accurate,0
P12,A1,plus,I believe that others have good intentions,Moderately Accurate,0
P12,A2,minus,I cheat to get ahead,Moderately Inaccurate,0
P12,A2,minus,I take advantage of others,Very Inaccurate,0
P12,A3,plus,I love to help others,Moderately Accurate,0
P12,A3,plus,I am concerned about others,Neither Accurate Nor Inaccurate,0
P12,A4,minus,I insult people,Very Inaccurate,0
P12,A4,minus,I get back at others,Moderately Inaccurate,0
P12,A5,minus,I believe that I am better than others,Moderately Accurate,0
P12,A5,minus,I think highly of myself,Very Accurate,0
P12,A6,plus,I sympathize with the homeless,Neither Accurate Nor Inaccurate,0
P12,A6,plus,I feel sympathy for those who are worse off than myself,Neither Accurate Nor Inaccurate,0
P13,A1,plus,I trust others,Moderately Accurate,0
P13,A1,plus,I believe that others have good intentions,Moderately Accurate,0
P13,A2,minus,I cheat to get ahead,Very Inaccurate,0
P13,A2,minus,I take advantage of others,Very Inaccurate,0
P13,A3,plus,I love to help others,Very Accurate,0
P13,A3,plus,I am concerned about others,Very Accurate,0
P13,A4,minus,I insult people,Very Inaccurate,0
P13,A4,minus,I get back at others,Neither Accurate Nor Inaccurate,0
P13,A5,minus,I believe that I am better than others,Neither Accurate Nor Inaccurate,0
P13,A5,minus,I think highly of myself,Moderately Inaccurate,0
P13,A6,plus,I sympathize with the homeless,Very Accurate,0
P13,A6,plus,I feel sympathy for those who are worse off than myself,Very Accurate,0
P14,A1,plus,I trust others,Moderately Accurate,0
P14,A1,plus,I believe that others have good intentions,Neither Accurate Nor Inaccurate,0
P14,A2,minus,I cheat to get ahead,Moderately Inaccurate,0
P14,A2,minus,I take advantage of others,Moderately Inaccurate,0
P14,A3,plus,I love to help others,Very Accurate,0
P14,A3,plus,I am concerned about others,Very Accurate,0
P14,A4,minus,I insult people,Neither Accurate Nor Inaccurate,0
P14,A4,minus,I get back at others,Moderately Accurate,0
P14,A5,minus,I believe that I am better than others,Moderately Accurate,0
P14,A5,minus,I think highly of myself,Neither Accurate Nor Inaccurate,0
P14,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P14,A6,plus,I feel sympathy for those who are worse off than myself,Moderately Inaccurate,0
P15,A1,plus,I trust others,Neither Accurate Nor Inaccurate,0
P15,A1,plus,I believe that others have good intentions,Moderately Accurate,0
P15,A2,minus,I cheat to get ahead,Moderately Inaccurate,0
P15,A2,minus,I take advantage of others,Neither Accurate Nor Inaccurate,0
P15,A3,plus,I love to help others,Very Accurate,0
P15,A3,plus,I am concerned about others,Moderately Accurate,0
P15,A4,minus,I insult people,Very Inaccurate,0
P15,A4,minus,I get back at others,Moderately Inaccurate,0
P15,A5,minus,I believe that I am better than others,Neither Accurate Nor Inaccurate,0
P15,A5,minus,I think highly of myself,Neither Accurate Nor Inaccurate,0
P15,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P15,A6,plus,I feel sympathy for those who are worse off than myself,Neither Accurate Nor Inaccurate,0
P16,A1,plus,I trust others,Moderately Inaccurate,0
P16,A1,plus,I believe that others have good intentions,Moderately Inaccurate,0
P16,A2,minus,I cheat to get ahead,Moderately Inaccurate,0
P16,A2,minus,I take advantage of others,Neither Accurate Nor Inaccurate,0
P16,A3,plus,I love to help others,Neither Accurate Nor Inaccurate,0
P16,A3,plus,I am concerned about others,Neither Accurate Nor Inaccurate,0
P16,A4,minus,I insult people,Moderately Inaccurate,0
P16,A4,minus,I get back at others,Neither Accurate Nor Inaccurate,0
P16,A5,minus,I believe that I am better than others,Moderately Accurate,0
P16,A5,minus,I think highly of myself,Moderately Accurate,0
P16,A6,plus,I sympathize with the homeless,Neither Accurate Nor Inaccurate,0
P16,A6,plus,I feel sympathy for those who are worse off than myself,Neither Accurate Nor Inaccurate,0
P17,A1,plus,I trust others,Moderately Accurate,0
P17,A1,plus,I believe that others have good intentions,Very Accurate,0
P17,A2,minus,I cheat to get ahead,Very Inaccurate,0
P17,A2,minus,I take advantage of others,Very Inaccurate,0
P17,A3,plus,I love to help others,Moderately Accurate,0
P17,A3,plus,I am concerned about others,Moderately Accurate,0
P17,A4,minus,I insult people,Very Inaccurate,0
P17,A4,minus,I get back at others,Neither Accurate Nor Inaccurate,0
P17,A5,minus,I believe that I am better than others,Very Inaccurate,0
P17,A5,minus,I think highly of myself,Moderately Accurate,0
P17,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P17,A6,plus,I feel sympathy for those who are worse off than myself,Neither Accurate Nor Inaccurate,0
P18,A1,plus,I trust others,Very Accurate,0
P18,A1,plus,I believe that others have good intentions,Very Accurate,0
P18,A2,minus,I cheat to get ahead,Very Inaccurate,0
P18,A2,minus,I take advantage of others,Neither Accurate Nor Inaccurate,0
P18,A3,plus,I love to help others,Very Accurate,0
P18,A3,plus,I am concerned about others,Very Accurate,0
P18,A4,minus,I insult people,Very Inaccurate,0
P18,A4,minus,I get back at others,Neither Accurate Nor Inaccurate,1
P18,A5,minus,I believe that I am better than others,Very Inaccurate,0
P18,A5,minus,I think highly of myself,Neither Accurate Nor Inaccurate,1
P18,A6,plus,I sympathize with the homeless,Very Accurate,0
P18,A6,plus,I feel sympathy for those who are worse off than myself,Very Accurate,0
P19,A1,plus,I trust others,Very Accurate,0
P19,A1,plus,I believe that others have good intentions,Very Accurate,0
P19,A2,minus,I cheat to get ahead,Very Inaccurate,0
P19,A2,minus,I take advantage of others,Very Inaccurate,0
P19,A3,plus,I love to help others,Very Accurate,0
P19,A3,plus,I am concerned about others,Very Accurate,0
P19,A4,minus,I insult people,Moderately Inaccurate,0
P19,A4,minus,I get back at others,Moderately Accurate,0
P19,A5,minus,I believe that I am better than others,Very Inaccurate,0
P19,A5,minus,I think highly of myself,Very Inaccurate,0
P19,A6,plus,I sympathize with the homeless,Very Accurate,0
P19,A6,plus,I feel sympathy for those who are worse off than myself,Moderately Accurate,0
P20,A1,plus,I trust others,Very Accurate,0
P20,A1,plus,I believe that others have good intentions,Very Accurate,0
P20,A2,minus,I cheat to get ahead,Very Inaccurate,0
P20,A2,minus,I take advantage of others,Very Inaccurate,0
P20,A3,plus,I love to help others,Very Accurate,0
P20,A3,plus,I am concerned about others,Very Accurate,0
P20,A4,minus,I insult people,Very Inaccurate,0
P20,A4,minus,I get back at others,Moderately Accurate,0
P20,A5,minus,I believe that I am better than others,Neither Accurate Nor Inaccurate,0
P20,A5,minus,I think highly of myself,Moderately Accurate,0
P20,A6,plus,I sympathize with the homeless,Moderately Accurate,0
P20,A6,plus,I feel sympathy for those who are worse off than myself,Very Accurate,0
