participant,question,statement,answer
P11,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Disagree
P11,afraid to annoy,I was afraid that using speech commands would annoy my partner,Agree
P12,awareness,I was aware of what my partner was working on,Strongly Agree
P12,partneraware,I believe that my partner knew what I was working on,Agree
P12,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Often
P12,samequestion,How often did you work on the same question as your partner?,Sometimes
P12,lookacross,How often did you look across the wall to see what your partner was doing?,Sometimes
P12,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Frequently
P12,divided tasks,Did you divide up tasks between you?,Yes
P12,effective team,Did you and your partner work effectively as a team to solve the scenario?,Effective
P12,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Disagree
P12,afraid to annoy,I was afraid that using speech commands would annoy my partner,Agree
P13,awareness,I was aware of what my partner was working on,Agree
P13,partneraware,I believe that my partner knew what I was working on,Agree
P13,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Once in a while
P13,samequestion,How often did you work on the same question as your partner?,Sometimes
P13,lookacross,How often did you look across the wall to see what your partner was doing?,Once in a while
P13,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Rarely
P13,divided tasks,Did you divide up tasks between you?,Yes
P13,effective team,Did you and your partner work effectively as a team to solve the scenario?,Very effective
P13,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Strongly Disagree
P13,afraid to annoy,I was afraid that using speech commands would annoy my partner,Disagree
P14,awareness,I was aware of what my partner was working on,Agree
P14,partneraware,I believe that my partner knew what I was working on,Agree
P14,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Once in a while
P14,samequestion,How often did you work on the same question as your partner?,Never
P14,lookacross,How often did you look across the wall to see what your partner was doing?,Very often
P14,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Never
P14,divided tasks,Did you divide up tasks between you?,Yes
P14,effective team,Did you and your partner work effectively as a team to solve the scenario?,Neutral
P14,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Strongly Disagree
P14,afraid to annoy,I was afraid that using speech commands would annoy my partner,Strongly Agree
P15,awareness,I was aware of what my partner was working on,Strongly Agree
P15,partneraware,I believe that my partner knew what I was working on,Agree
P15,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Very often
P15,samequestion,How often did you work on the same question as your partner?,Often
P15,lookacross,How often did you look across the wall to see what your partner was doing?,Sometimes
P15,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Occasionally
P15,divided tasks,Did you divide up tasks between you?,Yes
P15,effective team,Did you and your partner work effectively as a team to solve the scenario?,Effective
P15,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Agree
P15,afraid to annoy,I was afraid that using speech commands would annoy my partner,Agree
P16,awareness,I was aware of what my partner was working on,Agree
P16,partneraware,I believe that my partner knew what I was working on,Undecided
P16,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Never
P16,samequestion,How often did you work on the same question as your partner?,Once in a while
P16,lookacross,How often did you look across the wall to see what your partner was doing?,Often
P16,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Never
P16,divided tasks,Did you divide up tasks between you?,Yes
P16,effective team,Did you and your partner work effectively as a team to solve the scenario?,Neutral
P16,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Strongly Disagree
P16,afraid to annoy,I was afraid that using speech commands would annoy my partner,Disagree
P17,awareness,I was aware of what my partner was working on,Agree
P17,partneraware,I believe that my partner knew what I was working on,Agree
P17,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Once in a while
P17,samequestion,How often did you work on the same question as your partner?,Sometimes
P17,lookacross,How often did you look across the wall to see what your partner was doing?,Sometimes
P17,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Frequently
P17,divided tasks,Did you divide up tasks between you?,Yes
P17,effective team,Did you and your partner work effectively as a team to solve the scenario?,Effective
P17,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Disagree
P17,afraid to annoy,I was afraid that using speech commands would annoy my partner,Disagree
P18,awareness,I was aware of what my partner was working on,Agree
P18,partneraware,I believe that my partner knew what I was working on,Agree
P18,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Once in a while
P18,samequestion,How often did you work on the same question as your partner?,Sometimes
P18,lookacross,How often did you look across the wall to see what your partner was doing?,Often
P18,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Never
P18,divided tasks,Did you divide up tasks between you?,Yes
P18,effective team,Did you and your partner work effectively as a team to solve the scenario?,Effective
P18,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Undecided
P18,afraid to annoy,I was afraid that using speech commands would annoy my partner,Disagree
P19,awareness,I was aware of what my partner was working on,Agree
P19,partneraware,I believe that my partner knew what I was working on,Agree
P19,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Once in a while
P19,samequestion,How often did you work on the same question as your partner?,Sometimes
P19,lookacross,How often did you look across the wall to see what your partner was doing?,Often
P19,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Never
P19,divided tasks,Did you divide up tasks between you?,Yes
P19,effective team,Did you and your partner work effectively as a team to solve the scenario?,Effective
P19,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Strongly Disagree
P19,afraid to annoy,I was afraid that using speech commands would annoy my partner,Strongly Disagree
P20,awareness,I was aware of what my partner was working on,Strongly Agree
P20,partneraware,I believe that my partner knew what I was working on,Agree
P20,importantinfo,How often did you partner have important information that would have helped you but you didn't find out about it?,Often
P20,samequestion,How often did you work on the same question as your partner?,Sometimes
P20,lookacross,How often did you look across the wall to see what your partner was doing?,Once in a while
P20,partnerspeech,How frequently did you learn about what your partner was doing from their speech commands?,Rarely
P20,divided tasks,Did you divide up tasks between you?,No
P20,effective team,Did you and your partner work effectively as a team to solve the scenario?,Neutral
P20,annoyed by speech,I was annoyed by the noise of the speech commands of my partner,Disagree
P20,afraid to annoy,I was afraid that using speech commands would annoy my partner,Agree
